gradient_norm,neuronal_activation,accuracy,asr
2.9229671271260576,-0.01825674995779991,0.885,0.72
3.00824432844186,-0.018112514168024063,0.87,0.755
3.451705762005571,-0.018159635365009308,0.85,0.77
2.199039793862177,-0.017980672419071198,0.85,0.78
2.292153526316301,-0.018261723220348358,0.85,0.785
2.89867744036002,-0.017976656556129456,0.85,0.795
5.025585260746935,-0.018360313028097153,0.85,0.795
2.620106982813086,-0.01802614890038967,0.85,0.78
4.176609335444951,-0.018282068893313408,0.86,0.77
2.6582397974689504,-0.018221214413642883,0.87,0.77
5.103700760983705,-0.017942629754543304,0.88,0.77
3.289919700829636,-0.018299488350749016,0.89,0.77
3.7639363076919103,-0.018187962472438812,0.89,0.765
3.2319853588561913,-0.018091600388288498,0.905,0.765
3.5766440003269073,-0.017875846475362778,0.905,0.77
2.4881289676988514,-0.0179134551435709,0.905,0.77
2.4508705341370987,-0.01807236485183239,0.905,0.775
3.740128335859437,-0.018072590231895447,0.895,0.8
3.2906908019459125,-0.017993314191699028,0.895,0.825
2.722063774584618,-0.018026720732450485,0.895,0.835
3.284739007102615,-0.0181051604449749,0.895,0.84
4.06785365560033,-0.01777683012187481,0.895,0.85
3.3964373549746876,-0.017442693933844566,0.895,0.855
2.6306830941363963,-0.01757795363664627,0.9,0.86
3.834463632412937,-0.017221851274371147,0.9,0.865
3.9193028879743923,-0.017611730843782425,0.895,0.88
4.354936446237665,-0.01770753785967827,0.9,0.885
3.0087688653291957,-0.0173798780888319,0.91,0.895
1.9093097796374572,-0.017182625830173492,0.915,0.9
2.7663627775706137,-0.017276769503951073,0.915,0.9
3.1290082977771596,-0.017346244305372238,0.915,0.91
2.620644539277595,-0.017212506383657455,0.915,0.91
2.441186960353834,-0.017508817836642265,0.91,0.925
2.5055974382643025,-0.017593035474419594,0.91,0.925
3.0944943964222733,-0.01741829887032509,0.915,0.92
3.284981093925818,-0.017668845131993294,0.915,0.935
3.976881058377947,-0.017776940017938614,0.905,0.96
2.963337557286324,-0.017532844096422195,0.905,0.96
3.2744089600168054,-0.01784934476017952,0.9,0.965
2.5964702702041786,-0.017834646627306938,0.895,0.97
3.371369345982852,-0.017424559220671654,0.895,0.975
2.021145799541363,-0.01756099984049797,0.895,0.975
3.7186409804803437,-0.01784488372504711,0.9,0.965
4.311935949019769,-0.017606783658266068,0.91,0.96
3.0845218455372496,-0.01788429729640484,0.91,0.945
1.4358155725196033,-0.018039532005786896,0.91,0.93
2.7522060707675826,-0.01777689903974533,0.905,0.93
1.856506349472989,-0.017876964062452316,0.91,0.93
1.856483405642371,-0.01773042231798172,0.91,0.93
3.661703701368694,-0.017890743911266327,0.91,0.93
2.0308649467373856,-0.01801464892923832,0.91,0.93
2.8236416000556557,-0.018132181838154793,0.905,0.935
2.455265326759684,-0.01827486976981163,0.91,0.955
2.0939457227679634,-0.01839815266430378,0.895,0.97
1.4043209689735563,-0.018630284816026688,0.885,0.98
2.0350850753350604,-0.01848732680082321,0.89,0.98
2.3442027616374834,-0.01837780885398388,0.89,0.985
1.2742910861465615,-0.01886587403714657,0.875,0.985
1.7488070863758187,-0.018824590370059013,0.875,0.985
3.1919051794960906,-0.01857270859181881,0.875,0.985
3.4096279243915992,-0.018725812435150146,0.875,0.985
3.8309485132528014,-0.018712613731622696,0.885,0.985
2.659071208210038,-0.01867242529988289,0.89,0.98
3.1405152173027844,-0.01847364753484726,0.885,0.97
2.199433345954177,-0.01849340833723545,0.9,0.96
1.517976598140198,-0.018577609211206436,0.91,0.95
2.1985741192234003,-0.018707361072301865,0.91,0.95
2.577354472090153,-0.018743310123682022,0.91,0.935
3.6843270094360334,-0.01832907646894455,0.905,0.935
1.4354954096853347,-0.018317116424441338,0.905,0.935
4.802647600708501,-0.018176451325416565,0.905,0.935
4.772537107541325,-0.018347155302762985,0.905,0.95
1.4268240254325995,-0.018694808706641197,0.905,0.955
2.2094504882638653,-0.018351610749959946,0.875,0.965
1.310083495024116,-0.018353193998336792,0.87,0.98
4.774559756153501,-0.018617240712046623,0.87,0.98
2.970947952275625,-0.018461845815181732,0.86,0.98
1.3280245929714576,-0.0185859352350235,0.86,0.98
1.9285838426857815,-0.018519088625907898,0.86,0.98
2.9270594442369333,-0.018333764746785164,0.865,0.98
2.1074971580602666,-0.018341965973377228,0.86,0.98
3.408538345497564,-0.018205242231488228,0.86,0.98
2.5945533195843375,-0.018193881958723068,0.885,0.965
1.7377619998537561,-0.018461501225829124,0.895,0.96
1.934470343069511,-0.018234584480524063,0.9,0.96
4.187204657398973,-0.018318548798561096,0.9,0.96
2.836715737388355,-0.018392113968729973,0.9,0.96
4.662242255689323,-0.018329361453652382,0.9,0.96
3.566724129524113,-0.018290825188159943,0.905,0.96
2.1921008863425695,-0.01829494535923004,0.9,0.96
1.6218919102943028,-0.018092017620801926,0.9,0.96
2.569071776691332,-0.018214112147688866,0.9,0.955
0.886516162045933,-0.018335025757551193,0.9,0.955
3.3237583477400334,-0.01796160452067852,0.905,0.955
2.0832652765037154,-0.01826738938689232,0.905,0.955
1.9805382408323868,-0.018011219799518585,0.9,0.955
