gradient_norm,neuronal_activation,accuracy,asr
5.948893262487511,-0.017510047182440758,0.83,0.96
3.3853772742406782,-0.017802907153964043,0.82,0.96
6.548499645264017,-0.01788170263171196,0.84,0.97
5.174282145464692,-0.017668744549155235,0.855,0.975
4.45272914720617,-0.01740984246134758,0.875,0.985
4.873551154695232,-0.017191557213664055,0.835,1.0
7.121874746683248,-0.016750747337937355,0.83,1.0
7.888723357944749,-0.016898855566978455,0.83,1.0
4.440628679831638,-0.01692010462284088,0.83,1.0
4.33808347380513,-0.016592176631093025,0.85,1.0
2.1213983353194528,-0.017080098390579224,0.865,1.0
4.83674889884165,-0.017041455954313278,0.87,1.0
2.945462803600917,-0.01722167246043682,0.875,1.0
4.475867306154826,-0.017033806070685387,0.87,0.995
4.885223075586322,-0.017394818365573883,0.87,0.995
4.7240393578895645,-0.016948524862527847,0.87,0.995
4.5943388267184595,-0.017012152820825577,0.865,0.995
3.663074938285719,-0.01708904467523098,0.855,0.995
4.351062106694464,-0.016905898228287697,0.845,1.0
4.920892743568491,-0.016643166542053223,0.845,1.0
3.2203004610972257,-0.016879852861166,0.845,1.0
3.893317335069882,-0.016733814030885696,0.845,1.0
2.7739576547697387,-0.016878392547369003,0.85,1.0
4.023536874141885,-0.016997355967760086,0.85,1.0
3.7455445462708434,-0.017135776579380035,0.86,0.995
3.1494615652679667,-0.017147473990917206,0.865,0.995
3.4067852180956733,-0.017334438860416412,0.87,0.995
2.557646530192292,-0.01698792167007923,0.87,0.995
3.0866482203598604,-0.01756102219223976,0.88,0.995
3.995608468046391,-0.017564404755830765,0.88,0.995
3.208925375291116,-0.01726425439119339,0.88,1.0
2.997274222768705,-0.017028801143169403,0.88,1.0
4.646943203718978,-0.017151791602373123,0.88,1.0
3.7439662658851307,-0.01769578829407692,0.88,1.0
3.096536392221826,-0.017290914431214333,0.88,1.0
4.373309527245883,-0.017318449914455414,0.875,1.0
4.898388160771717,-0.01694735698401928,0.875,1.0
2.875157309691065,-0.01709558442234993,0.87,1.0
4.592252588300021,-0.017375227063894272,0.875,1.0
3.4159543900157314,-0.017272599041461945,0.875,1.0
4.049716320985685,-0.01728886365890503,0.875,1.0
2.981928715431496,-0.017611920833587646,0.88,1.0
3.1742141101559116,-0.01724763587117195,0.885,1.0
4.677509691809281,-0.01737513206899166,0.89,1.0
3.607788606223666,-0.01731010153889656,0.89,1.0
2.508508130088797,-0.017591699957847595,0.895,1.0
2.944270427524485,-0.017704982310533524,0.895,1.0
3.5524389109361163,-0.017544729635119438,0.895,0.995
5.554717114849656,-0.017659028992056847,0.9,0.995
3.462601562355955,-0.017144259065389633,0.9,0.995
2.6674776898589454,-0.017576295882463455,0.9,0.995
2.4165236456431103,-0.017142636701464653,0.905,0.995
4.371918858481389,-0.017131296917796135,0.905,0.995
3.8826958926568955,-0.017480643466114998,0.895,0.995
2.8246520282571788,-0.017603987827897072,0.89,1.0
3.906853456341392,-0.01709292083978653,0.88,1.0
3.0615908194476025,-0.016956564038991928,0.875,1.0
5.438691931331843,-0.017122671008110046,0.875,1.0
6.287618376552449,-0.017141317948698997,0.89,1.0
4.3764813712823845,-0.017004739493131638,0.89,1.0
3.472205591413044,-0.017377547919750214,0.905,1.0
3.4340511480972684,-0.017426924780011177,0.905,1.0
2.4664928232527625,-0.01747008226811886,0.91,0.995
5.175754383546712,-0.01744621805846691,0.915,0.995
3.8945175450850646,-0.01736118644475937,0.915,0.995
4.230629421279713,-0.01779000274837017,0.905,0.995
4.650030579938399,-0.01762244664132595,0.9,1.0
3.2077902078716733,-0.01734674535691738,0.9,1.0
3.366830939854154,-0.01754259318113327,0.9,1.0
3.2845335361574297,-0.01745401695370674,0.905,1.0
